customer_id,first_name,last_name,date_of_birth,gender
1,Julie,Sam,12-01-1989,F
2,Steve,Ryan,03-04-1983,M
3,Morris,Lois,09-12-1993,M
4,Cathenna,Emily,14-09-1977,F
5,Aaron,Kim,18-02-1991,M
6,Alexander,Scot,12-02-1985,M
7,Anderson,Stewart,11-01-1992,M
8,Floyd,Ted,21-02-1993,M
9,Leo,Travis,22-03-1994,M
10,Melvin,Tracy,23-04-1995,M
11,Roger,Walson,24-05-1996,M
12,Shirley,Wally,25-06-1997,F
13,Solomon,Walter,26-07-1998,M
14,Carol,Vernon,27-08-1999,F
15,Linda,William,28-09-1986,F
16,Chirstine,Willis,06-10-1987,F
17,Catherine,Shad,09-11-1988,F
18,Gloria,Richie,04-12-1989,F
19,Joyce,Paul,02-06-1990,F
20,Sara,Oliver,01-01-1991,F
21,Chirsty,Josh,10-01-2004,M
22,Pheny,Eri,29-01-1999,M
23,Erwin,Tosh,03-02-1994,M
24,Calvin,Willis,15-02-1994,M
25,Moss,Morris,18-02-2011,M
26,Bryan,Collin,28-02-2011,M
27,Cherly,Vernon,19-03-1992,F
28,Du plesis,Chris,17-04-1994,M
29,Watson,Ronald,11-01-1991,M
30,Donack,Dukins,19-02-1991,M
31,James,Robert,12-04-1994,M
32,Chirstoper,Sean,21-06-1993,M
33,Mark,Ethan,22-05-1994,M
34,Jacqueline,Keith,23-04-1994,F
35,Jeffrey,Aaron,24-02-1991,M
36,Kayla,Patrick,27-02-1993,F
37,Samuel,Scott,28-01-2000,M
38,Alexis,Scott,31-10-2001,M
39,Tyler,Edward,30-11-2006,M
40,Adam,Paul,31-12-2007,M
41,Kyle,Mark,29-11-2004,F
42,Roger,Mattew,28-11-2008,M
43,Joe,Daniel,27-03-2001,M
44,Bily,Brian,26-10-2002,M
45,Doris,Walter,23-12-1993,M
46,Louis,Douglas,22-09-1997,M
47,Sophia,Carl,11-08-1999,F
48,Wayne,Noah,02-07-1998,F
49,Russell,Peter,01-06-1996,M
50,Rose,Arthur,23-05-1996,F
